Question,Answer
"When is the ""Like, Totally Transformative: CMU in the 1980s""?","The event will be open on Aug. 30 - Nov. 27, 2024 all day."
"Can you give me some information about ""Like, Totally Transformative: CMU in the 1980s""?","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!"
"When is the ""National Disability Employment Awareness Month""?","The event will be open on October 1 - 31, 2024 all day."
"Can you give me some information about ""National Disability Employment Awareness Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"When is the ""Shemini Atzeret""?","The event will be open on October 23 - 25, 2024 all day."
"Can you give me some information about ""Shemini Atzeret""?","  Immediately following the seven-day Jewish festival of Sukkot, Shemini Atzeret is observed from sundown to sundown as a festival of the eighth day.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"When is the ""Simchat Torah""?","The event will be open on October 24 - 25, 2024 all day."
"Can you give me some information about ""Simchat Torah""?","  Immediately following Shemini Atzeret, Simchat Torah is a Jewish holiday observed from sundown to sundown to celebrate the completion of the annual reading of the Torah and affirm Torah as a pillar on which to build life.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"When is the ""Shemini Atzeret""?","The event will be open on October 23 - 25, 2024 at Midnight."
"Can you give me some information about ""Shemini Atzeret""?","  Immediately following the seven-day Jewish festival of Sukkot, Shemini Atzeret is observed from sundown to sundown as a festival of the eighth day.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"When is the ""Simchat Torah""?","The event will be open on October 24 - 25, 2024 at Midnight."
"Can you give me some information about ""Simchat Torah""?","  Immediately following Shemini Atzeret, Simchat Torah is a Jewish holiday observed from sundown to sundown to celebrate the completion of the annual reading of the Torah and affirm Torah as a pillar on which to build life.    Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs. "
"Where can I see the ""17th International Exhibition of Botanical Art & Illustration""?","The event is at Hunt Institute for Botanical Documentation, 5th Fl...."
"Is there a specific location to enter for the ""17th International Exhibition of Botanical Art & Illustration""?","Yes, it is held at Hunt Institute for Botanical Documentation, 5th Fl...."
"When is the ""17th International Exhibition of Botanical Art & Illustration""?","The event will be open on October 25, 2024 at 9 a.m. - 5 p.m. M-F (to Dec 17)."
"Can you give me some information about ""17th International Exhibition of Botanical Art & Illustration""?",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.
"Where can I see the ""Turning Big Ideas Into Issue One: Launching Your Open Access Journal""?",The event is at Online.
"Is there a specific location to enter for the ""Turning Big Ideas Into Issue One: Launching Your Open Access Journal""?","Yes, it is held at Online."
"When is the ""Turning Big Ideas Into Issue One: Launching Your Open Access Journal""?","The event will be open on October 25, 2024 at Noon - 1 p.m.."
"Can you give me some information about ""Turning Big Ideas Into Issue One: Launching Your Open Access Journal""?",This workshop’s goal is to help you draft a roadmap for your prospective new open access journal.
"Where can I see the ""From the Ghetto to the Forest: Surviving the Holocaust in Belarus""?","The event is at Posner Grand Room, Posner Hall 340."
"Is there a specific location to enter for the ""From the Ghetto to the Forest: Surviving the Holocaust in Belarus""?","Yes, it is held at Posner Grand Room, Posner Hall 340."
"When is the ""From the Ghetto to the Forest: Surviving the Holocaust in Belarus""?","The event will be open on October 25, 2024 at Noon - 1 p.m.."
"Can you give me some information about ""From the Ghetto to the Forest: Surviving the Holocaust in Belarus""?","In this lecture, Anika Walke discusses how Soviet Jews experienced the Holocaust and how they made sense of their lives many years later."
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on October 25, 2024 at Noon - 3 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"Where can I see the ""Identity, Elections, and Representation: A Conversation with Dr. Nadia Brown on Black Women’s Politics""?",The event is at Hamburg Hall.
"Is there a specific location to enter for the ""Identity, Elections, and Representation: A Conversation with Dr. Nadia Brown on Black Women’s Politics""?","Yes, it is held at Hamburg Hall."
"When is the ""Identity, Elections, and Representation: A Conversation with Dr. Nadia Brown on Black Women’s Politics""?","The event will be open on October 25, 2024 at 12:30 - 1:30 p.m.."
"Can you give me some information about ""Identity, Elections, and Representation: A Conversation with Dr. Nadia Brown on Black Women’s Politics""?","Dr. Nadia E. Brown is a Professor of Government, chair of the Women’s and Gender Studies Program and affiliate in the African American Studies program at Georgetown University. She will lead a discussion on the role that race and gender play in the US election."
"Where can I see the ""Workforce Resilience in a Changing Technological Landscape""?","The event is at Hamburg Hall, A301."
"Is there a specific location to enter for the ""Workforce Resilience in a Changing Technological Landscape""?","Yes, it is held at Hamburg Hall, A301."
"When is the ""Workforce Resilience in a Changing Technological Landscape""?","The event will be open on October 25, 2024 at 3 - 4:30 p.m.."
"Can you give me some information about ""Workforce Resilience in a Changing Technological Landscape""?",Explore how automation and other emerging technologies are impacting modern career paths and how policy can promote sustainable skill formation.
"When is the ""Black Women’s Support Group""?","The event will be open on October 25, 2024 at 4 - 5:15 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""Black Women’s Support Group""?","A supportive, virtual space for students who identify as Black women, facilitated by Black female therapists."
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"Where can I see the ""Junior Communications Studio Exhibit""?","The event is at Cohon University Center, Main Hallway."
"Is there a specific location to enter for the ""Junior Communications Studio Exhibit""?","Yes, it is held at Cohon University Center, Main Hallway."
"When is the ""Junior Communications Studio Exhibit""?","The event will be open on Oct. 10 - Nov. 6, 2024 all day."
"Can you give me some information about ""Junior Communications Studio Exhibit""?","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement."
"Where can I see the ""Like, Totally Transformative: CMU in the 1980s""?",The event is at Hunt Library Gallery.
"Is there a specific location to enter for the ""Like, Totally Transformative: CMU in the 1980s""?","Yes, it is held at Hunt Library Gallery."
"When is the ""Like, Totally Transformative: CMU in the 1980s""?","The event will be open on Aug. 30 - Nov. 27, 2024 all day."
"Can you give me some information about ""Like, Totally Transformative: CMU in the 1980s""?","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!"
"When is the ""Mini-2 add, audit & tuition adjustment drop deadline""?","The event will be open on October 25, 2024 all day."
"Can you give me some information about ""Mini-2 add, audit & tuition adjustment drop deadline""?","  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. "
"When is the ""National Disability Employment Awareness Month""?","The event will be open on October 1 - 31, 2024 all day."
"Can you give me some information about ""National Disability Employment Awareness Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on October 26, 2024 at 10 a.m. - 1 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"Where can I see the ""Junior Communications Studio Exhibit""?","The event is at Cohon University Center, Main Hallway."
"Is there a specific location to enter for the ""Junior Communications Studio Exhibit""?","Yes, it is held at Cohon University Center, Main Hallway."
"When is the ""Junior Communications Studio Exhibit""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Junior Communications Studio Exhibit""?","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement."
"Where can I see the ""Like, Totally Transformative: CMU in the 1980s""?",The event is at Hunt Library Gallery.
"Is there a specific location to enter for the ""Like, Totally Transformative: CMU in the 1980s""?","Yes, it is held at Hunt Library Gallery."
"When is the ""Like, Totally Transformative: CMU in the 1980s""?","The event will be open on Aug. 30 - Nov. 27, 2024 all day."
"Can you give me some information about ""Like, Totally Transformative: CMU in the 1980s""?","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!"
"When is the ""National Disability Employment Awareness Month""?","The event will be open on October 1 - 31, 2024 all day."
"Can you give me some information about ""National Disability Employment Awareness Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"When is the ""(Women’s Volleyball) Case Western Reserve vs. Carnegie Mellon""?","The event will be open on October 27, 2024 at Noon - 3 p.m.."
"Can you give me some information about ""(Women’s Volleyball) Case Western Reserve vs. Carnegie Mellon""?","(Women’s Volleyball) Case Western Reserve vs. Carnegie Mellon, UAA Round Robin #3"
"When is the ""(Women’s Volleyball) WashU vs. Carnegie Mellon""?","The event will be open on October 27, 2024 at 2 - 5 p.m.."
"Can you give me some information about ""(Women’s Volleyball) WashU vs. Carnegie Mellon""?","(Women’s Volleyball) WashU vs. Carnegie Mellon, UAA Round Robin #3"
"Where can I see the ""Voter Registration Assistance""?","The event is at Nexus of Civic Engagement, Room 102, Cohon Univers...."
"Is there a specific location to enter for the ""Voter Registration Assistance""?","Yes, it is held at Nexus of Civic Engagement, Room 102, Cohon Univers...."
"When is the ""Voter Registration Assistance""?","The event will be open on October 27, 2024 at 4 - 7 p.m. Weekly (to Nov 6)."
"Can you give me some information about ""Voter Registration Assistance""?","A member of the CMU Votes team will be available to help you register to vote, check your voter registration status, and/or find your polling place for the upcoming election"
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"Where can I see the ""Junior Communications Studio Exhibit""?","The event is at Cohon University Center, Main Hallway."
"Is there a specific location to enter for the ""Junior Communications Studio Exhibit""?","Yes, it is held at Cohon University Center, Main Hallway."
"When is the ""Junior Communications Studio Exhibit""?","The event will be open on Oct. 10 - Nov. 6, 2024 all day."
"Can you give me some information about ""Junior Communications Studio Exhibit""?","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement."
"Where can I see the ""Like, Totally Transformative: CMU in the 1980s""?",The event is at Hunt Library Gallery.
"Is there a specific location to enter for the ""Like, Totally Transformative: CMU in the 1980s""?","Yes, it is held at Hunt Library Gallery."
"When is the ""Like, Totally Transformative: CMU in the 1980s""?","The event will be open on Aug. 30 - Nov. 27, 2024 all day."
"Can you give me some information about ""Like, Totally Transformative: CMU in the 1980s""?","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!"
"When is the ""National Disability Employment Awareness Month""?","The event will be open on October 1 - 31, 2024 all day."
"Can you give me some information about ""National Disability Employment Awareness Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"Where can I see the ""Provost’s Office Hours""?","The event is at Student Academic Success Center, Posner Hall 1st F...."
"Is there a specific location to enter for the ""Provost’s Office Hours""?","Yes, it is held at Student Academic Success Center, Posner Hall 1st F...."
"When is the ""Provost’s Office Hours""?","The event will be open on October 28, 2024 at 9 - 10:30 a.m.."
"Can you give me some information about ""Provost’s Office Hours""?","Provost Jim Garrett is holding monthly office hours for all faculty, staff and students."
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"Where can I see the ""Junior Communications Studio Exhibit""?","The event is at Cohon University Center, Main Hallway."
"Is there a specific location to enter for the ""Junior Communications Studio Exhibit""?","Yes, it is held at Cohon University Center, Main Hallway."
"When is the ""Junior Communications Studio Exhibit""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Junior Communications Studio Exhibit""?","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement."
"Where can I see the ""Like, Totally Transformative: CMU in the 1980s""?",The event is at Hunt Library Gallery.
"Is there a specific location to enter for the ""Like, Totally Transformative: CMU in the 1980s""?","Yes, it is held at Hunt Library Gallery."
"When is the ""Like, Totally Transformative: CMU in the 1980s""?","The event will be open on Aug. 30 - Nov. 27, 2024 all day."
"Can you give me some information about ""Like, Totally Transformative: CMU in the 1980s""?","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!"
"When is the ""National Disability Employment Awareness Month""?","The event will be open on October 1 - 31, 2024 all day."
"Can you give me some information about ""National Disability Employment Awareness Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"Where can I see the ""17th International Exhibition of Botanical Art & Illustration""?","The event is at Hunt Institute for Botanical Documentation, 5th Fl...."
"Is there a specific location to enter for the ""17th International Exhibition of Botanical Art & Illustration""?","Yes, it is held at Hunt Institute for Botanical Documentation, 5th Fl...."
"When is the ""17th International Exhibition of Botanical Art & Illustration""?","The event will be open on October 28, 2024 at 9 a.m. - 5 p.m. M-F (to Dec 17)."
"Can you give me some information about ""17th International Exhibition of Botanical Art & Illustration""?",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.
"Where can I see the ""LovingKindness Meditation""?","The event is at Interfaith Room, Wellness & Meaning-Making Sui...."
"Is there a specific location to enter for the ""LovingKindness Meditation""?","Yes, it is held at Interfaith Room, Wellness & Meaning-Making Sui...."
"When is the ""LovingKindness Meditation""?","The event will be open on October 28, 2024 at Noon - 1 p.m. Weekly (to Nov 11)."
"Can you give me some information about ""LovingKindness Meditation""?",Loving-kindness is a wholesome inner capacity of the human mind that heals both oneself and others.
"Where can I see the ""Neurospicy — Graduate""?",The event is at Morewood Gardens Group Room.
"Is there a specific location to enter for the ""Neurospicy — Graduate""?","Yes, it is held at Morewood Gardens Group Room."
"When is the ""Neurospicy — Graduate""?","The event will be open on October 28, 2024 at 1 - 2:30 p.m. Weekly (to Dec 13)."
"Can you give me some information about ""Neurospicy — Graduate""?",Neurospicy is a supportive space for students across the neurodiverse umbrella to discuss their experiences traversing neuro-typical and allistic landscapes.
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on October 28, 2024 at 2 - 5 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"Where can I see the ""Cyber-Enabled Nation-State Influence Operations: Are Russia, China and Iran Interfering in the U.S. Election?""?","The event is at Simmons A Auditorium, Tepper School of Business."
"Is there a specific location to enter for the ""Cyber-Enabled Nation-State Influence Operations: Are Russia, China and Iran Interfering in the U.S. Election?""?","Yes, it is held at Simmons A Auditorium, Tepper School of Business."
"When is the ""Cyber-Enabled Nation-State Influence Operations: Are Russia, China and Iran Interfering in the U.S. Election?""?","The event will be open on October 28, 2024 at 5 - 6:30 p.m.."
"Can you give me some information about ""Cyber-Enabled Nation-State Influence Operations: Are Russia, China and Iran Interfering in the U.S. Election?""?",This session will examine recent evidence of nation-state interference in U.S. elections and discuss strategies to protect our democratic process from these threats.
"Where can I see the ""Deeper Conversations Lecture: Cyber-enabled Nation-State Influence Operations: Are Russia, China, and Iran Interfering in the U.S. Election?""?","The event is at Tepper Building, Simmons Auditorium (A)."
"Is there a specific location to enter for the ""Deeper Conversations Lecture: Cyber-enabled Nation-State Influence Operations: Are Russia, China, and Iran Interfering in the U.S. Election?""?","Yes, it is held at Tepper Building, Simmons Auditorium (A)."
"When is the ""Deeper Conversations Lecture: Cyber-enabled Nation-State Influence Operations: Are Russia, China, and Iran Interfering in the U.S. Election?""?","The event will be open on October 28, 2024 at 5 - 6:30 p.m.."
"Can you give me some information about ""Deeper Conversations Lecture: Cyber-enabled Nation-State Influence Operations: Are Russia, China, and Iran Interfering in the U.S. Election?""?","This session will examine recent evidence of nation-state interference in U.S. elections and discuss strategies to protect our democratic process from these threats. Panelists will include Bret Schafer, Bryan Prior, and Darren Linvill and will be moderated by Audrey Kurth Cronin."
"When is the ""PhD Student Support Group""?","The event will be open on October 28, 2024 at 6:30 - 7:30 p.m. Weekly (to Dec 13)."
"Can you give me some information about ""PhD Student Support Group""?","The PhD Support Group offers space to confidentially discuss the stressors and challenges of navigating relationships with advisors and peers, academic milestones, academic hazing, low motivation, struggles with self-confidence, and efforts to lead a more balanced life."
"Where can I see the ""Carnegie Mellon Chamber Series: New Sounds""?","The event is at Kresge Theatre, College of Fine Arts @ 5000 Forbes...."
"Is there a specific location to enter for the ""Carnegie Mellon Chamber Series: New Sounds""?","Yes, it is held at Kresge Theatre, College of Fine Arts @ 5000 Forbes...."
"When is the ""Carnegie Mellon Chamber Series: New Sounds""?","The event will be open on Monday, October 28 at 7:30 - 9:30 p.m.."
"Where can I see the ""17th International Exhibition of Botanical Art & Illustration""?","The event is at Hunt Institute for Botanical Documentation, 5th Fl...."
"Is there a specific location to enter for the ""17th International Exhibition of Botanical Art & Illustration""?","Yes, it is held at Hunt Institute for Botanical Documentation, 5th Fl...."
"When is the ""17th International Exhibition of Botanical Art & Illustration""?","The event will be open on October 29, 2024 at 9 a.m. - 5 p.m. M-F (to Dec 17)."
"Can you give me some information about ""17th International Exhibition of Botanical Art & Illustration""?",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.
"Where can I see the ""Cleaning Untidy Data With OpenRefine""?",The event is at Online.
"Is there a specific location to enter for the ""Cleaning Untidy Data With OpenRefine""?","Yes, it is held at Online."
"When is the ""Cleaning Untidy Data With OpenRefine""?","The event will be open on October 29, 2024 at 10 - 11:30 a.m.."
"Can you give me some information about ""Cleaning Untidy Data With OpenRefine""?","Tired of spending hours and hours cleaning messy data in Excel spreadsheets? Come learn OpenRefine, an easy-to-use, open source tool for data cleaning."
"Where can I see the ""Donuts & Democracy""?",The event is at Merson Courtyard.
"Is there a specific location to enter for the ""Donuts & Democracy""?","Yes, it is held at Merson Courtyard."
"When is the ""Donuts & Democracy""?","The event will be open on October 29, 2024 at 10 a.m. - Noon."
"Can you give me some information about ""Donuts & Democracy""?",Enjoy a donut while learning about what is on your ballot this year and how to research candidates. Confirm your polling location and learn about ID requirements too.
"Where can I see the ""Committing to Git? A No-Code Introduction to Git""?","The event is at Sorrells Library Den, Wean Hall Fourth Floor."
"Is there a specific location to enter for the ""Committing to Git? A No-Code Introduction to Git""?","Yes, it is held at Sorrells Library Den, Wean Hall Fourth Floor."
"When is the ""Committing to Git? A No-Code Introduction to Git""?","The event will be open on October 29, 2024 at Noon - 1:30 p.m.."
"Can you give me some information about ""Committing to Git? A No-Code Introduction to Git""?",Learn how to use Git and GitHub for your research or projects.
"Where can I see the ""Swartz Center for Entrepreneurship CONNECTS Seminar Series""?","The event is at Swartz Center for Entrepreneurship, 3rd Level, Tep...."
"Is there a specific location to enter for the ""Swartz Center for Entrepreneurship CONNECTS Seminar Series""?","Yes, it is held at Swartz Center for Entrepreneurship, 3rd Level, Tep...."
"When is the ""Swartz Center for Entrepreneurship CONNECTS Seminar Series""?","The event will be open on October 29, 2024 at 12:30 - 1:30 p.m.."
"Can you give me some information about ""Swartz Center for Entrepreneurship CONNECTS Seminar Series""?",The CONNECTS seminar series enhances the experiential education of any individual interested in innovation and entrepreneurship.
"Where can I see the ""CMU Pantry Hours""?",The event is at CMU Pantry.
"Is there a specific location to enter for the ""CMU Pantry Hours""?","Yes, it is held at CMU Pantry."
"When is the ""CMU Pantry Hours""?","The event will be open on October 29, 2024 at 2 - 5 p.m. Weekly (to Dec 20)."
"Can you give me some information about ""CMU Pantry Hours""?",The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.
"When is the ""Invisible Fight: Chronic Illness Support Group""?","The event will be open on October 29, 2024 at 4 - 5 p.m. Weekly (to Dec 17)."
"Can you give me some information about ""Invisible Fight: Chronic Illness Support Group""?","Living with a chronic illness/medical condition can be an isolating experience. This support group is an opportunity for students who experience chronic conditions (i.e. asthma, diabetes, autoimmune diseases, cancer, and others) to gather in community for support and validation."
"Where can I see the ""Anti-Hate Series: The Great Replacement Theory""?","The event is at Simmons A, Tepper School of Business."
"Is there a specific location to enter for the ""Anti-Hate Series: The Great Replacement Theory""?","Yes, it is held at Simmons A, Tepper School of Business."
"When is the ""Anti-Hate Series: The Great Replacement Theory""?","The event will be open on October 29, 2024 at 4:45 - 6 p.m.."
"Can you give me some information about ""Anti-Hate Series: The Great Replacement Theory""?","This session examines the Great Replacement Theory, a harmful and conspiratorial ideology stemming from the nexus of white nationalism, antisemitism, racism and xenophobia that has historically incited global hatred and violence."
"Where can I see the ""Eating for Energy Workshop""?","The event is at Well-being Lab (Room 104), Wellness & Meaning-...."
"Is there a specific location to enter for the ""Eating for Energy Workshop""?","Yes, it is held at Well-being Lab (Room 104), Wellness & Meaning-...."
"When is the ""Eating for Energy Workshop""?","The event will be open on October 29, 2024 at 5 - 6 p.m.."
"Can you give me some information about ""Eating for Energy Workshop""?","Join Jessica Tones, Dining Services registered dietitian, and discover how to fuel your body for sustained energy throughout the day."
"Where can I see the ""LGBTQIA+ Support and Social Group""?",The event is at Morewood Gardens Group Room.
"Is there a specific location to enter for the ""LGBTQIA+ Support and Social Group""?","Yes, it is held at Morewood Gardens Group Room."
"When is the ""LGBTQIA+ Support and Social Group""?","The event will be open on October 29, 2024 at 6 - 7 p.m. Weekly (to Dec 10)."
"Can you give me some information about ""LGBTQIA+ Support and Social Group""?",Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.
"Where can I see the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event is at Hunt Library, Fourth Floor."
"Is there a specific location to enter for the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","Yes, it is held at Hunt Library, Fourth Floor."
"When is the ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Here to Stay: Celebrating 40 Years at the Architecture Archives""?","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
"Where can I see the ""Junior Communications Studio Exhibit""?","The event is at Cohon University Center, Main Hallway."
"Is there a specific location to enter for the ""Junior Communications Studio Exhibit""?","Yes, it is held at Cohon University Center, Main Hallway."
"When is the ""Junior Communications Studio Exhibit""?","The event will be open on May 23 - June 1, 2025 all day."
"Can you give me some information about ""Junior Communications Studio Exhibit""?","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement."
"Where can I see the ""Like, Totally Transformative: CMU in the 1980s""?",The event is at Hunt Library Gallery.
"Is there a specific location to enter for the ""Like, Totally Transformative: CMU in the 1980s""?","Yes, it is held at Hunt Library Gallery."
"When is the ""Like, Totally Transformative: CMU in the 1980s""?","The event will be open on Aug. 30 - Nov. 27, 2024 all day."
"Can you give me some information about ""Like, Totally Transformative: CMU in the 1980s""?","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!"
"When is the ""National Disability Employment Awareness Month""?","The event will be open on October 1 - 31, 2024 all day."
"Can you give me some information about ""National Disability Employment Awareness Month""?","Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs."
"When is the ""PA Mail-In Ballot Deadline""?","The event will be open on October 29, 2024 all day."
"Can you give me some information about ""PA Mail-In Ballot Deadline""?",Planning to vote in PA by mail? All mail-in ballot requests must be received by 5pm today. Today is also the final day for Over-The-Counter voting.
"Where can I see the ""Data Visualization in R Shiny""?",The event is at Online.
"Is there a specific location to enter for the ""Data Visualization in R Shiny""?","Yes, it is held at Online."
"When is the ""Data Visualization in R Shiny""?","The event will be open on October 30, 2024 at 9 - 10 a.m.."
"Can you give me some information about ""Data Visualization in R Shiny""?","Are you currently involved in work that could (or should) be communicated to the public via online platforms? Would you like to further your skills or learn new ways to make charts, graphs, maps using the R?"
"Where can I see the ""17th International Exhibition of Botanical Art & Illustration""?","The event is at Hunt Institute for Botanical Documentation, 5th Fl...."
"Is there a specific location to enter for the ""17th International Exhibition of Botanical Art & Illustration""?","Yes, it is held at Hunt Institute for Botanical Documentation, 5th Fl...."
"When is the ""17th International Exhibition of Botanical Art & Illustration""?","The event will be open on October 30, 2024 at 9 a.m. - 5 p.m. M-F (to Dec 17)."
"Can you give me some information about ""17th International Exhibition of Botanical Art & Illustration""?",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.
"Where can I see the ""Swartz Center for Entrepreneurship CONNECTS Seminar Series""?","The event is at Swartz Center for Entrepreneurship, 3rd Level, Tep...."
"Is there a specific location to enter for the ""Swartz Center for Entrepreneurship CONNECTS Seminar Series""?","Yes, it is held at Swartz Center for Entrepreneurship, 3rd Level, Tep...."
"When is the ""Swartz Center for Entrepreneurship CONNECTS Seminar Series""?","The event will be open on October 30, 2024 at 12:30 - 1:30 p.m.."
"Can you give me some information about ""Swartz Center for Entrepreneurship CONNECTS Seminar Series""?",The CONNECTS seminar series enhances the experiential education of any individual interested in innovation and entrepreneurship.
