Question,Answer
"Where can I see the ""Assemble""?","5125 Penn Ave, Pittsburgh."
"When is the ""Assemble""?",Ongoing.
"Where is the venue for the event ""Assemble""?",Assemble.
"Which region is the event ""Assemble"" in?",Garfield.
"What category does the event ""Assemble"" fall under?",Volunteers.
"Where can I see the ""Youth Outreach Union""?","5125 Penn Ave, Pittsburgh."
"When is the ""Youth Outreach Union""?",Ongoing.
"Where is the venue for the event ""Youth Outreach Union""?",Assemble.
"Which region is the event ""Youth Outreach Union"" in?",Garfield.
"What category does the event ""Youth Outreach Union"" fall under?",Volunteers.
"Where can I see the ""Big Brothers/Big Sisters of Greater Pittsburgh""?","5125 Penn Ave, Pittsburgh."
"When is the ""Big Brothers/Big Sisters of Greater Pittsburgh""?",Ongoing.
"Where is the venue for the event ""Big Brothers/Big Sisters of Greater Pittsburgh""?",Assemble.
"Which region is the event ""Big Brothers/Big Sisters of Greater Pittsburgh"" in?",Garfield.
"What category does the event ""Big Brothers/Big Sisters of Greater Pittsburgh"" fall under?",Volunteers.
"Where can I see the ""Free Ride! Recycled Bike Collective""?","214 N. Lexington St., Pittsburgh."
"When is the ""Free Ride! Recycled Bike Collective""?",Ongoing.
"Where is the venue for the event ""Free Ride! Recycled Bike Collective""?",Free Ride!.
"Which region is the event ""Free Ride! Recycled Bike Collective"" in?",Homewood.
"What category does the event ""Free Ride! Recycled Bike Collective"" fall under?",Volunteers.
"Where can I see the ""Pittsburgh Quarterly""?","1140 Fox Chapel Rd, Pittsburgh."
"When is the ""Pittsburgh Quarterly""?",Ongoing.
"Where is the venue for the event ""Pittsburgh Quarterly""?",Pittsburgh Quartley.
"Which region is the event ""Pittsburgh Quarterly"" in?",Fox Chapel.
"What category does the event ""Pittsburgh Quarterly"" fall under?",Submissions.
"Where can I see the ""Senator John Heinz History Center""?","1212 Smallman Street, Pittsburgh."
"When is the ""Senator John Heinz History Center""?",Ongoing.
"Where is the venue for the event ""Senator John Heinz History Center""?",Senator John Heinz History Center.
"Which region is the event ""Senator John Heinz History Center"" in?",Strip District.
"What category does the event ""Senator John Heinz History Center"" fall under?",Volunteers.
"Where can I see the ""The Neighborhood Academy""?","1212 Smallman Street, Pittsburgh."
"When is the ""The Neighborhood Academy""?",Ongoing.
"Where is the venue for the event ""The Neighborhood Academy""?",Senator John Heinz History Center.
"Which region is the event ""The Neighborhood Academy"" in?",Strip District.
"What category does the event ""The Neighborhood Academy"" fall under?",Volunteers.
"Where can I see the ""POWER""?","1212 Smallman Street, Pittsburgh."
"When is the ""POWER""?",Ongoing.
"Where is the venue for the event ""POWER""?",Senator John Heinz History Center.
"Which region is the event ""POWER"" in?",Strip District.
"What category does the event ""POWER"" fall under?",Volunteers.
"Where can I see the ""The Lost Artists of the 1893 Chicago Exhibition.""?","8275 Ohio River Blvd, Pittsburgh."
"When is the ""The Lost Artists of the 1893 Chicago Exhibition.""?",Ongoing.
"Where is the venue for the event ""The Lost Artists of the 1893 Chicago Exhibition.""?",Eclectic Art & Objects Gallery.
"Which region is the event ""The Lost Artists of the 1893 Chicago Exhibition."" in?",Emsworth.
"What category does the event ""The Lost Artists of the 1893 Chicago Exhibition."" fall under?",Visual Art.
"Where can I see the ""Fort Pitt Museum""?","101 Commonwealth Pl., Point State Park, Pittsburgh."
"When is the ""Fort Pitt Museum""?",Ongoing.
"Where is the venue for the event ""Fort Pitt Museum""?",Fort Pitt Museum.
"Which region is the event ""Fort Pitt Museum"" in?",Downtown.
"What category does the event ""Fort Pitt Museum"" fall under?",Exhibits.
"Where can I see the ""East End Community Thrift Shop""?","101 Commonwealth Pl., Point State Park, Pittsburgh."
"When is the ""East End Community Thrift Shop""?",Ongoing.
"Where is the venue for the event ""East End Community Thrift Shop""?",Fort Pitt Museum.
"Which region is the event ""East End Community Thrift Shop"" in?",Downtown.
"What category does the event ""East End Community Thrift Shop"" fall under?",Fundraisers.
"Where can I see the ""Pittsburgh Action Against Rape""?","101 Commonwealth Pl., Point State Park, Pittsburgh."
"When is the ""Pittsburgh Action Against Rape""?",Ongoing.
"Where is the venue for the event ""Pittsburgh Action Against Rape""?",Fort Pitt Museum.
"Which region is the event ""Pittsburgh Action Against Rape"" in?",Downtown.
"What category does the event ""Pittsburgh Action Against Rape"" fall under?",Volunteers.
"Where can I see the ""Pittsburgh Sports League""?","101 Commonwealth Pl., Point State Park, Pittsburgh."
"When is the ""Pittsburgh Sports League""?",Ongoing.
"Where is the venue for the event ""Pittsburgh Sports League""?",Fort Pitt Museum.
"Which region is the event ""Pittsburgh Sports League"" in?",Downtown.
"What category does the event ""Pittsburgh Sports League"" fall under?",Outside.
"Where can I see the ""Gay & Lesbian Community Center""?","101 Commonwealth Pl., Point State Park, Pittsburgh."
"When is the ""Gay & Lesbian Community Center""?",Ongoing.
"Where is the venue for the event ""Gay & Lesbian Community Center""?",Fort Pitt Museum.
"Which region is the event ""Gay & Lesbian Community Center"" in?",Downtown.
"What category does the event ""Gay & Lesbian Community Center"" fall under?",Volunteers.
"Where can I see the ""Pittsburgh Center for Creative Reuse""?","214 N. Lexington, Pittsburgh."
"When is the ""Pittsburgh Center for Creative Reuse""?",Ongoing.
"Where is the venue for the event ""Pittsburgh Center for Creative Reuse""?",Pittsburgh Center for Creative Reuse.
"Which region is the event ""Pittsburgh Center for Creative Reuse"" in?",Homewood.
"What category does the event ""Pittsburgh Center for Creative Reuse"" fall under?",Volunteers.
"Where can I see the ""Pet Adoption League""?","214 N. Lexington, Pittsburgh."
"When is the ""Pet Adoption League""?",Ongoing.
"Where is the venue for the event ""Pet Adoption League""?",Pittsburgh Center for Creative Reuse.
"Which region is the event ""Pet Adoption League"" in?",Homewood.
"What category does the event ""Pet Adoption League"" fall under?",Volunteers.
"Where can I see the ""Washington County Literacy Council""?","214 N. Lexington, Pittsburgh."
"When is the ""Washington County Literacy Council""?",Ongoing.
"Where is the venue for the event ""Washington County Literacy Council""?",Pittsburgh Center for Creative Reuse.
"Which region is the event ""Washington County Literacy Council"" in?",Homewood.
"What category does the event ""Washington County Literacy Council"" fall under?",Volunteers.
